screen_name,betweenness_centrality,degree_in,followers_count,group,belongs_to,profile_image_url
POERUP7,0.49742,3,3,4,ukoer,http://a0.twimg.com/sticky/default_profile_images/default_profile_4_normal.png
oxfordpodcasts,2.1749,17,3420,2,ukoer,http://a0.twimg.com/profile_images/198527942/300x300_C21_iTunes_normal.png
riannemaris,0,0,0,2,ukoer,http://a0.twimg.com/sticky/default_profile_images/default_profile_0_normal.png
argaric,0.052632,4,7,1,ukoer,http://a0.twimg.com/profile_images/1646451593/DSC_0025_normal.jpg
tomjbrowne,11.871,1,5,2,ukoer,http://a0.twimg.com/sticky/default_profile_images/default_profile_5_normal.png
hazelmcneill,0,0,1,2,ukoer,http://a0.twimg.com/sticky/default_profile_images/default_profile_4_normal.png
OERIPRSupport,73.38,49,77,1,ukoer,http://a0.twimg.com/profile_images/1150083058/OER-IPR-SUPPORT-LOGO-_-TWITTER_normal.jpg
sssaaarah,0.54633,3,7,1,ukoer,http://a0.twimg.com/profile_images/1630378180/large_sarah_hayes_normal.jpg
jakkisr,0,1,7,2,ukoer,http://a0.twimg.com/profile_images/633051525/jakki7_normal.jpg
litwt,10.357,6,47,1,ukoer,http://a0.twimg.com/profile_images/266792260/Li_normal.jpg
nmonopoli1,0,0,0,4,SCOREProject,http://a0.twimg.com/sticky/default_profile_images/default_profile_6_normal.png
ShaunHides_COMC,0,3,4,1,ukoer,http://a0.twimg.com/profile_images/2163008526/SH2_normal.jpg
boisvert_c,0,0,2,2,ukoer,http://a0.twimg.com/sticky/default_profile_images/default_profile_1_normal.png
dtaktak,0,1,2,1,ukoer,http://a0.twimg.com/profile_images/1631999656/Sunset_normal.jpg
pgwtotnes,0,1,3,2,ukoer,http://a0.twimg.com/profile_images/1430445033/image_normal.jpg
j_darb,1.1152,9,15,4,SCOREProject,http://a0.twimg.com/profile_images/1347257311/jd-photo_normal.jpg
CumbriaMAAP,1.9487,2,7,1,ukoer,http://a0.twimg.com/profile_images/1185559503/patchwork_normal.png
dialeproject,0,0,5,0,ukoer,http://a0.twimg.com/profile_images/2111386395/Dial-e2012logo_normal.png
AGruszczynska,3.1279,2,3,1,ukoer,http://a0.twimg.com/sticky/default_profile_images/default_profile_6_normal.png
cvcade,0,1,3,4,SCOREProject,http://a0.twimg.com/profile_images/1311401581/DSC00016_normal.JPG
tjcoughlan,0.57224,6,22,4,"SCOREProject,ukoer",http://a0.twimg.com/profile_images/1348788949/TJCWorkPortrait150px_normal.jpg
unicycle_oer,96.296,31,72,1,ukoer,http://a0.twimg.com/profile_images/270926627/unicycle_normal.jpg
MissCeBe,0,1,13,2,ukoer,http://a0.twimg.com/profile_images/55517788/Carina_s_marking_bad_day_normal.jpg
celia_popovic,7.7484,5,25,3,ukoer,http://a0.twimg.com/sticky/default_profile_images/default_profile_0_normal.png
LTImodule,102.47,10,22,0,"SCOREProject,ukoer",http://a0.twimg.com/profile_images/1520342854/oer-banner-videowall_normal.jpg
ideas4learning,0,0,2,4,ukoer,http://a0.twimg.com/sticky/default_profile_images/default_profile_2_normal.png
CIAcap,0,0,4,0,ukoer,http://a0.twimg.com/profile_images/1922450178/Courtauld_Institute_RGB_normal.jpg
DeloresOER,16.838,15,19,1,ukoer,http://a0.twimg.com/profile_images/1227151205/engine_sq_normal.jpg
UoNVideoGroup,0,0,9,0,ukoer,http://a0.twimg.com/profile_images/1498235581/1411web_normal.jpg
phholtkamp,0.35965,2,6,4,SCOREProject,http://a0.twimg.com/sticky/default_profile_images/default_profile_0_normal.png
VBLT,0,0,1,3,ukoer,http://a0.twimg.com/profile_images/1901232520/vic_normal.jpg
Clare_Gormley,0.55705,3,17,0,ukoer,http://a0.twimg.com/profile_images/1619368003/Profile_Pic_normal.jpg
Cath_Walsh,0,0,2,2,ukoer,http://a0.twimg.com/sticky/default_profile_images/default_profile_5_normal.png
pwarrington0,6.8794,2,5,0,ukoer,http://a0.twimg.com/profile_images/1230149647/trans_73x73_1.0_normal.png
stephensmaggie,0.24996,4,4,1,"SCOREProject,ukoer",http://a0.twimg.com/sticky/default_profile_images/default_profile_1_normal.png
LearnTechUoN,0.68503,4,57,0,ukoer,http://a0.twimg.com/profile_images/1291443685/tpod-art_normal.JPG
sarzhal,21.425,1,9,2,ukoer,http://a0.twimg.com/profile_images/336380544/sarzhal_-_Copy_normal.JPG
SustextsOER,125.62,4,9,1,ukoer,http://a0.twimg.com/profile_images/1862082281/aretrianbowl_normal.jpg
mnandrews,0,0,7,2,"SCOREProject,ukoer",http://a0.twimg.com/profile_images/1524064371/Screen_shot_2011-09-01_at_21.06.38_normal.png
cagr1a,0,0,0,2,ukoer,http://a0.twimg.com/sticky/default_profile_images/default_profile_1_normal.png
ruthstannard,0,0,3,3,SCOREProject,http://a0.twimg.com/sticky/default_profile_images/default_profile_0_normal.png
Schofield7373,40.195,2,15,2,ukoer,http://a0.twimg.com/sticky/default_profile_images/default_profile_6_normal.png
kev_brace,0.046599,1,5,0,ukoer,http://a0.twimg.com/profile_images/2167008251/kev-twitter_normal.jpg
milo_0123,0,0,4,3,SCOREProject,http://a0.twimg.com/profile_images/1870136404/22_normal.jpg
WoodwardMartine,8.915,3,11,0,SCOREProject,http://a0.twimg.com/profile_images/1409827732/image_normal.jpg
jelgerhuis,0.39155,4,39,4,ukoer,http://a0.twimg.com/profile_images/1604435257/foto-Hester-Jelgerhuis-_kleur-vierkant-web__normal.jpg
